vrsta,otok,spol,prehrana,dob,zdravlje,godina,oklop_duljina,oklop_sirina,peraja_duljina,masa,vrijeme_zarona
glavata zelva,Mljet,zenka,kril,odrasla,pothranjena,2024,31.4,16.1,195,4074,60.74
glavata zelva,Mljet,zenka,kril,odrasla,zdrava,2024,30.9,16.8,221,4335,63.35
glavata zelva,Mljet,zenka,kril,odrasla,pothranjena,2024,35.9,17,207,3710,57.1
glavata zelva,Mljet,zenka,kril,subadultna,pothranjena,2024,24.5,16.3,181,3453,54.53
glavata zelva,Mljet,zenka,kril,subadultna,zdrava,2024,31.6,16,175,3757,57.57
glavata zelva,Mljet,zenka,kril,odrasla,zdrava,2024,37.4,17.7,202,4714,67.14
glavata zelva,Mljet,zenka,kril,subadultna,pothranjena,2024,28.2,13.6,188,3444,54.44
glavata zelva,Mljet,muzjak,kril,subadultna,ozlijedjena,2024,22.3,15.8,187,5209,72.09
glavata zelva,Mljet,muzjak,kril,subadultna,ozlijedjena,2024,30.9,21.2,187,6064,80.64
glavata zelva,Mljet,muzjak,kril,subadultna,zdrava,2024,29.5,22.1,241,4847,68.47
glavata zelva,Mljet,muzjak,kril,subadultna,zdrava,2024,27.3,17.8,181,4791,67.91
glavata zelva,Mljet,muzjak,kril,subadultna,zdrava,2024,29.6,17.2,186,4696,66.96
glavata zelva,Mljet,muzjak,kril,subadultna,zdrava,2024,32.8,17.6,190,4868,68.68
glavata zelva,Mljet,muzjak,kril,subadultna,pothranjena,2024,38.4,16.5,186,4337,63.37
glavata zelva,Mljet,muzjak,kril,subadultna,pothranjena,2024,23.8,15.7,213,3720,57.2
glavata zelva,Mljet,muzjak,kril,odrasla,zdrava,2024,33.8,19.1,215,5264,72.64
glavata zelva,Mljet,muzjak,kril,odrasla,pothranjena,2024,38,21.2,239,4592,65.92
glavata zelva,Mljet,muzjak,kril,subadultna,ozlijedjena,2024,25.4,15.7,219,5139,71.39
glavata zelva,Mljet,muzjak,kril,subadultna,pothranjena,2024,27.3,18.2,195,4419,64.19
glavata zelva,Mljet,muzjak,kril,subadultna,pothranjena,2024,25.9,15.8,190,4050,60.5
glavata zelva,Mljet,muzjak,kril,subadultna,pothranjena,2024,18.8,19.1,170,4329,63.29
glavata zelva,Mljet,muzjak,kril,odrasla,pothranjena,2024,33.5,18,191,5060,70.6
glavata zelva,Mljet,muzjak,kril,odrasla,zdrava,2024,24,21.2,207,5833,78.33
glavata zelva,Mljet,muzjak,kril,odrasla,pothranjena,2024,37.5,20.1,202,4967,69.67
glavata zelva,Mljet,muzjak,kril,subadultna,zdrava,2024,20.8,15.9,207,4934,69.34
glavata zelva,Mljet,muzjak,kril,subadultna,zdrava,2024,28,21.5,211,4757,67.57
glavata zelva,Mljet,muzjak,kril,subadultna,pothranjena,2024,25,18.3,225,4235,62.35
glavata zelva,Mljet,zenka,meduze,juvenilna,ozlijedjena,2024,35.3,9.7,170,3342,53.42
glavata zelva,Mljet,zenka,meduze,juvenilna,zdrava,2024,32.1,18.1,179,2903,49.03
glavata zelva,Mljet,zenka,meduze,juvenilna,zdrava,2024,30.2,13.7,143,2840,48.4
glavata zelva,Mljet,zenka,meduze,juvenilna,pothranjena,2024,34.2,16.7,185,2791,47.91
glavata zelva,Mljet,zenka,meduze,juvenilna,zdrava,2024,21.7,16.9,168,3017,50.17
glavata zelva,Mljet,zenka,meduze,juvenilna,pothranjena,2024,32.9,16.8,174,2797,47.97
glavata zelva,Mljet,zenka,meduze,juvenilna,zdrava,2024,36.9,12.2,165,2857,48.57
glavata zelva,Mljet,zenka,meduze,juvenilna,zdrava,2024,24.3,17,174,3160,51.6
glavata zelva,Mljet,zenka,meduze,juvenilna,zdrava,2024,28.7,14.1,173,3090,50.9
glavata zelva,Mljet,zenka,meduze,juvenilna,pothranjena,2024,20.8,14.8,159,2731,47.31
glavata zelva,Mljet,zenka,meduze,juvenilna,zdrava,2024,28.4,14.8,166,3145,51.45
glavata zelva,Mljet,zenka,meduze,juvenilna,zdrava,2024,27.3,13.8,175,3007,50.07
glavata zelva,Mljet,zenka,meduze,juvenilna,ozlijedjena,2024,39.1,14.4,185,3227,52.27
glavata zelva,Mljet,zenka,meduze,juvenilna,ozlijedjena,2024,28.2,15.3,166,3284,52.84
glavata zelva,Mljet,zenka,meduze,juvenilna,pothranjena,2024,32,13.1,157,2678,46.78
glavata zelva,Mljet,zenka,meduze,juvenilna,zdrava,2024,37.3,11.7,174,3153,51.53
glavata zelva,Mljet,zenka,meduze,juvenilna,ozlijedjena,2024,19.6,16.8,167,3327,53.27
glavata zelva,Mljet,zenka,meduze,juvenilna,zdrava,2024,31.2,15.6,178,3042,50.42
glavata zelva,Mljet,zenka,meduze,juvenilna,zdrava,2024,25,11.3,162,3138,51.38
glavata zelva,Mljet,zenka,meduze,juvenilna,zdrava,2024,25.1,15.8,156,3045,50.45
glavata zelva,Mljet,muzjak,meduze,juvenilna,ozlijedjena,2024,28.7,15.2,203,3860,58.6
glavata zelva,Mljet,muzjak,meduze,juvenilna,pothranjena,2024,27.8,14.7,176,3108,51.08
glavata zelva,Mljet,muzjak,meduze,juvenilna,zdrava,2024,39.1,13.5,207,3598,55.98
glavata zelva,Mljet,muzjak,meduze,juvenilna,ozlijedjena,2024,48.6,14.4,178,3868,58.68
glavata zelva,Mljet,muzjak,meduze,juvenilna,pothranjena,2024,37.3,13.3,187,3323,53.23
glavata zelva,Mljet,muzjak,meduze,juvenilna,pothranjena,2024,27.4,16.5,184,3379,53.79
glavata zelva,Mljet,muzjak,meduze,juvenilna,ozlijedjena,2024,28.3,18.4,186,4125,61.25
glavata zelva,Mljet,muzjak,meduze,juvenilna,pothranjena,2024,37.9,15.7,183,3257,52.57
glavata zelva,Mljet,muzjak,meduze,juvenilna,ozlijedjena,2024,31.3,16.9,197,3825,58.25
glavata zelva,Mljet,muzjak,meduze,juvenilna,ozlijedjena,2024,27.2,15.3,203,3811,58.11
glavata zelva,Mljet,muzjak,meduze,juvenilna,zdrava,2024,42.2,14.6,188,3694,56.94
glavata zelva,Mljet,muzjak,meduze,juvenilna,ozlijedjena,2024,40,17.9,188,3902,59.02
glavata zelva,Mljet,muzjak,meduze,juvenilna,zdrava,2024,25.7,16.2,199,3490,54.9
glavata zelva,Mljet,muzjak,meduze,juvenilna,zdrava,2024,35.2,17.8,188,3552,55.52
glavata zelva,Mljet,muzjak,meduze,juvenilna,zdrava,2024,37.5,18.7,199,3480,54.8
glavata zelva,Mljet,muzjak,meduze,juvenilna,zdrava,2024,34.6,18.7,191,3581,55.81
glavata zelva,Mljet,muzjak,meduze,juvenilna,ozlijedjena,2024,38,17.4,185,4161,61.61
glavata zelva,Mljet,muzjak,meduze,juvenilna,zdrava,2024,27.4,15.5,189,3664,56.64
glavata zelva,Mljet,muzjak,meduze,juvenilna,zdrava,2024,26.4,13.6,207,3653,56.53
glavata zelva,Mljet,muzjak,meduze,juvenilna,pothranjena,2024,38.4,18,187,3049,50.49
glavata zelva,Mljet,muzjak,meduze,juvenilna,zdrava,2024,32.8,11.6,182,3572,55.72
glavata zelva,Mljet,muzjak,meduze,juvenilna,zdrava,2024,36.1,14.5,211,3479,54.79
glavata zelva,Mljet,zenka,lignje,odrasla,ozlijedjena,2024,41.8,18.4,224,5171,71.71
glavata zelva,Mljet,zenka,lignje,odrasla,zdrava,2024,39.1,18,189,4922,69.22
glavata zelva,Mljet,muzjak,lignje,odrasla,zdrava,2024,51.8,20,239,5157,71.57
glavata zelva,Mljet,muzjak,lignje,odrasla,pothranjena,2024,53.8,18.5,213,4532,65.32
glavata zelva,Mljet,muzjak,lignje,subadultna,ozlijedjena,2024,47.2,18.3,190,6216,82.16
glavata zelva,Mljet,muzjak,lignje,odrasla,zdrava,2024,55.5,23.7,244,5130,71.3
glavata zelva,Mljet,muzjak,lignje,odrasla,zdrava,2024,44.1,21.1,232,5219,72.19
glavata zelva,Lastovo,zenka,riba,subadultna,zdrava,2024,48.3,19.6,203,4202,62.02
glavata zelva,Lastovo,zenka,riba,subadultna,ozlijedjena,2024,56.2,16,194,4854,68.54
glavata zelva,Lastovo,zenka,riba,subadultna,ozlijedjena,2024,51.7,16.2,213,4856,68.56
glavata zelva,Lastovo,zenka,riba,odrasla,zdrava,2024,66,16.4,246,4819,68.19
glavata zelva,Lastovo,zenka,riba,subadultna,ozlijedjena,2024,46.6,19.1,213,5626,76.26
glavata zelva,Lastovo,zenka,riba,odrasla,ozlijedjena,2024,54.9,19.3,237,5424,74.24
glavata zelva,Lastovo,zenka,riba,odrasla,ozlijedjena,2024,48.3,21.3,207,6426,84.26
glavata zelva,Lastovo,zenka,riba,odrasla,ozlijedjena,2024,66.4,18.1,257,5146,71.46
glavata zelva,Lastovo,zenka,riba,subadultna,ozlijedjena,2024,33.3,15.7,263,4979,69.79
glavata zelva,Lastovo,zenka,riba,odrasla,ozlijedjena,2024,55.4,20.5,223,5438,74.38
glavata zelva,Lastovo,muzjak,riba,odrasla,zdrava,2024,65,19.4,256,5920,79.2
glavata zelva,Lastovo,muzjak,riba,subadultna,ozlijedjena,2024,35.8,18.9,240,5470,74.7
glavata zelva,Lastovo,muzjak,riba,subadultna,ozlijedjena,2024,53.7,16.6,219,5711,77.11
glavata zelva,Lastovo,muzjak,riba,odrasla,ozlijedjena,2024,48.6,18.4,258,7273,92.73
glavata zelva,Lastovo,muzjak,riba,odrasla,ozlijedjena,2024,65.9,23.8,254,6318,83.18
glavata zelva,Lastovo,muzjak,riba,odrasla,zdrava,2024,78.4,18.9,259,5445,74.45
glavata zelva,Lastovo,muzjak,riba,subadultna,ozlijedjena,2024,46.7,16.8,228,5368,73.68
glavata zelva,Lastovo,muzjak,riba,subadultna,ozlijedjena,2024,50.7,15.8,256,5228,72.28
glavata zelva,Lastovo,muzjak,kril,subadultna,zdrava,2024,30,21.8,197,4685,66.85
glavata zelva,Lastovo,muzjak,kril,odrasla,pothranjena,2024,37,18.6,213,4592,65.92
glavata zelva,Lastovo,zenka,kril,odrasla,pothranjena,2024,41.4,19.3,182,3983,59.83
glavata zelva,Lastovo,zenka,kril,subadultna,pothranjena,2024,26.2,21.4,187,3548,55.48
glavata zelva,Lastovo,zenka,kril,subadultna,zdrava,2024,19.6,15.9,169,3981,59.81
glavata zelva,Lastovo,zenka,kril,odrasla,ozlijedjena,2024,23.6,18.2,216,5734,77.34
glavata zelva,Lastovo,zenka,kril,odrasla,pothranjena,2024,28.4,19.1,204,3741,57.41
glavata zelva,Lastovo,zenka,kril,subadultna,pothranjena,2024,31.3,15.7,187,3346,53.46
glavata zelva,Lastovo,zenka,kril,odrasla,pothranjena,2024,29.8,23.4,198,3842,58.42
glavata zelva,Lastovo,zenka,kril,subadultna,pothranjena,2024,26.6,19,202,3403,54.03
glavata zelva,Lastovo,zenka,kril,subadultna,zdrava,2024,25.2,18.4,191,3861,58.61
glavata zelva,Lastovo,zenka,kril,subadultna,zdrava,2024,31.8,21.2,155,3879,58.79
glavata zelva,Lastovo,zenka,kril,subadultna,pothranjena,2024,27.1,20.4,178,3665,56.65
glavata zelva,Lastovo,zenka,kril,subadultna,pothranjena,2024,30.8,17.2,179,3413,54.13
glavata zelva,Lastovo,zenka,kril,subadultna,zdrava,2024,21.2,16.4,187,3960,59.6
glavata zelva,Lastovo,zenka,kril,subadultna,zdrava,2024,21.3,16.4,181,4037,60.37
glavata zelva,Lastovo,zenka,kril,subadultna,zdrava,2024,32.4,15.9,165,3792,57.92
glavata zelva,Lastovo,zenka,kril,subadultna,zdrava,2024,34,16.6,191,4299,62.99
glavata zelva,Lastovo,zenka,kril,subadultna,pothranjena,2024,27.9,16,172,3122,51.22
glavata zelva,Lastovo,zenka,kril,odrasla,pothranjena,2024,35.4,16.7,207,4026,60.26
glavata zelva,Lastovo,zenka,kril,subadultna,ozlijedjena,2024,25.6,12.2,186,4508,65.08
glavata zelva,Lastovo,zenka,kril,subadultna,zdrava,2024,24.2,19.1,179,4040,60.4
glavata zelva,Lastovo,zenka,kril,odrasla,zdrava,2024,22,13.7,187,4630,66.3
glavata zelva,Lastovo,zenka,kril,subadultna,zdrava,2024,28.4,17.7,172,3923,59.23
glavata zelva,Lastovo,zenka,kril,subadultna,ozlijedjena,2024,31.8,18.9,175,4698,66.98
glavata zelva,Lastovo,zenka,kril,subadultna,zdrava,2024,25.7,17.9,199,3765,57.65
glavata zelva,Lastovo,zenka,kril,odrasla,zdrava,2024,30.6,18.7,209,4706,67.06
glavata zelva,Lastovo,muzjak,kril,odrasla,zdrava,2024,35.8,20.3,211,5245,72.45
glavata zelva,Lastovo,muzjak,kril,subadultna,pothranjena,2024,32.4,17.6,195,4325,63.25
glavata zelva,Lastovo,muzjak,kril,subadultna,pothranjena,2024,29.9,16.6,193,3932,59.32
glavata zelva,Lastovo,muzjak,kril,subadultna,pothranjena,2024,30.2,19.7,169,3705,57.05
glavata zelva,Lastovo,muzjak,kril,odrasla,zdrava,2024,27.6,19.9,204,5210,72.1
glavata zelva,Lastovo,muzjak,kril,subadultna,pothranjena,2024,33.5,18.6,176,4418,64.18
glavata zelva,Lastovo,muzjak,kril,odrasla,pothranjena,2024,31,19.3,221,4589,65.89
glavata zelva,Lastovo,muzjak,kril,subadultna,pothranjena,2024,18.4,17.9,176,4277,62.77
glavata zelva,Lastovo,muzjak,kril,subadultna,zdrava,2024,35,19.9,192,4937,69.37
glavata zelva,Lastovo,muzjak,kril,odrasla,zdrava,2024,23.8,19.1,232,5408,74.08
glavata zelva,Lastovo,muzjak,kril,odrasla,pothranjena,2024,36,18.1,246,4476,64.76
glavata zelva,Lastovo,muzjak,kril,subadultna,zdrava,2024,26.2,19.2,205,4923,69.23
glavata zelva,Lastovo,muzjak,kril,subadultna,zdrava,2024,27.3,21.4,216,4837,68.37
glavata zelva,Lastovo,muzjak,kril,subadultna,zdrava,2024,35.2,18,202,4898,68.98
glavata zelva,Lastovo,muzjak,kril,subadultna,pothranjena,2024,30.1,14.3,163,4142,61.42
glavata zelva,Lastovo,muzjak,kril,subadultna,pothranjena,2024,18.8,18.6,197,4198,61.98
glavata zelva,Lastovo,muzjak,kril,subadultna,pothranjena,2024,27.6,22.5,191,4053,60.53
glavata zelva,Lastovo,muzjak,kril,subadultna,zdrava,2024,29,16.2,200,4942,69.42
glavata zelva,Lastovo,muzjak,kril,subadultna,zdrava,2024,30.2,16.1,206,4529,65.29
glavata zelva,Lastovo,muzjak,kril,subadultna,zdrava,2024,28.6,18.6,197,4912,69.12
glavata zelva,Lastovo,muzjak,kril,subadultna,pothranjena,2024,37,18.9,196,4276,62.76
glavata zelva,Lastovo,muzjak,kril,subadultna,zdrava,2024,29.6,19.1,182,4816,68.16
glavata zelva,Lastovo,muzjak,kril,odrasla,pothranjena,2024,27.8,21.6,225,5063,70.63
glavata zelva,Lastovo,muzjak,kril,subadultna,ozlijedjena,2024,25.8,17.7,218,5392,73.92
glavata zelva,Lastovo,muzjak,kril,subadultna,pothranjena,2024,23.4,17.7,209,4263,62.63
glavata zelva,Lastovo,muzjak,kril,subadultna,zdrava,2024,29.5,17.3,204,4979,69.79
glavata zelva,Lastovo,muzjak,kril,subadultna,pothranjena,2024,33.7,15,190,4382,63.82
glavata zelva,Lastovo,muzjak,kril,subadultna,zdrava,2024,28.3,16.9,198,4692,66.92
glavata zelva,Lastovo,muzjak,kril,subadultna,zdrava,2024,22.4,19.7,188,4568,65.68
glavata zelva,Lastovo,muzjak,kril,subadultna,zdrava,2024,25.2,20.3,209,4853,68.53
glavata zelva,Lastovo,muzjak,kril,odrasla,zdrava,2024,31.3,19,236,5498,74.98
glavata zelva,Lastovo,muzjak,kril,odrasla,pothranjena,2024,29.2,17.5,232,4941,69.41
glavata zelva,Lastovo,muzjak,kril,subadultna,pothranjena,2024,23.5,18.5,179,4297,62.97
glavata zelva,Lastovo,muzjak,kril,subadultna,pothranjena,2024,25.9,15.4,215,4433,64.33
glavata zelva,Lastovo,muzjak,kril,subadultna,zdrava,2024,28.4,19.3,193,4789,67.89
glavata zelva,Lastovo,muzjak,kril,subadultna,pothranjena,2024,27.6,17.5,221,4390,63.9
glavata zelva,Lastovo,muzjak,kril,subadultna,zdrava,2024,34.2,15.4,183,4943,69.43
glavata zelva,Lastovo,muzjak,kril,subadultna,zdrava,2024,33.6,19.4,209,4545,65.45
glavata zelva,Lastovo,muzjak,kril,subadultna,pothranjena,2024,31.7,18,231,4358,63.58
glavata zelva,Lastovo,muzjak,kril,odrasla,zdrava,2024,48.1,17.6,207,5155,71.55
glavata zelva,Lastovo,zenka,meduze,juvenilna,zdrava,2024,28.1,11.9,172,3060,50.6
glavata zelva,Lastovo,zenka,meduze,juvenilna,zdrava,2024,27.1,15.6,185,3122,51.22
glavata zelva,Lastovo,zenka,meduze,juvenilna,zdrava,2024,30.6,14.1,156,2961,49.61
glavata zelva,Lastovo,zenka,meduze,juvenilna,zdrava,2024,33.9,15.2,156,2856,48.56
glavata zelva,Lastovo,zenka,meduze,juvenilna,zdrava,2024,30.9,14.5,173,3167,51.67
glavata zelva,Lastovo,zenka,meduze,juvenilna,zdrava,2024,24.5,12.7,172,3066,50.66
glavata zelva,Lastovo,zenka,meduze,juvenilna,pothranjena,2024,33.8,14.4,185,2477,44.77
glavata zelva,Lastovo,zenka,meduze,juvenilna,ozlijedjena,2024,34.7,16,160,3385,53.85
glavata zelva,Lastovo,zenka,meduze,juvenilna,zdrava,2024,25.6,14.5,159,3148,51.48
glavata zelva,Lastovo,zenka,meduze,juvenilna,zdrava,2024,34.8,14,189,2924,49.24
glavata zelva,Lastovo,zenka,meduze,juvenilna,zdrava,2024,30.6,11,170,3121,51.21
glavata zelva,Lastovo,zenka,meduze,juvenilna,zdrava,2024,32.4,13.2,162,3084,50.84
glavata zelva,Lastovo,zenka,meduze,juvenilna,zdrava,2024,32.5,13.5,177,3099,50.99
glavata zelva,Lastovo,zenka,meduze,juvenilna,zdrava,2024,31.4,16.7,150,2826,48.26
glavata zelva,Lastovo,muzjak,meduze,juvenilna,zdrava,2024,30.9,15,190,3635,56.35
glavata zelva,Lastovo,muzjak,meduze,juvenilna,ozlijedjena,2024,33.4,13.8,184,3902,59.02
glavata zelva,Lastovo,muzjak,meduze,juvenilna,zdrava,2024,31.6,17.7,190,3647,56.47
glavata zelva,Lastovo,muzjak,meduze,juvenilna,zdrava,2024,32.7,17.7,188,3668,56.68
glavata zelva,Lastovo,muzjak,meduze,juvenilna,zdrava,2024,36.3,19.2,182,3414,54.14
glavata zelva,Lastovo,muzjak,meduze,juvenilna,pothranjena,2024,35.2,16.5,191,3293,52.93
glavata zelva,Lastovo,muzjak,meduze,juvenilna,zdrava,2024,35,17,191,3425,54.25
glavata zelva,Lastovo,muzjak,meduze,juvenilna,zdrava,2024,37.7,13.1,182,3490,54.9
glavata zelva,Lastovo,muzjak,meduze,juvenilna,ozlijedjena,2024,32.9,14.9,204,4075,60.75
glavata zelva,Lastovo,muzjak,meduze,juvenilna,zdrava,2024,27.6,13.7,179,3771,57.71
glavata zelva,Lastovo,muzjak,meduze,juvenilna,zdrava,2024,31.1,13.1,198,3548,55.48
glavata zelva,Lastovo,muzjak,meduze,juvenilna,ozlijedjena,2024,33.7,17.1,179,3926,59.26
glavata zelva,Lastovo,muzjak,meduze,juvenilna,ozlijedjena,2024,27.8,17.3,187,3893,58.93
glavata zelva,Lastovo,muzjak,meduze,juvenilna,ozlijedjena,2024,30.5,14.2,195,3945,59.45
glavata zelva,Lastovo,muzjak,meduze,juvenilna,pothranjena,2024,39.3,17.8,186,3394,53.94
glavata zelva,Lastovo,muzjak,meduze,juvenilna,zdrava,2024,27.7,13.5,169,3467,54.67
glavata zelva,Lastovo,zenka,lignje,odrasla,zdrava,2024,32.4,22,214,4452,64.52
