vrsta,staniste,spol,ishrana,dob,zdravlje,duljina,sirina,duljina_repa,masa,brzina_plivanja
Sparus aurata,jug,zenka,kril,subadultno,naruseno,24.1,17.5,207,45.17,65.17
Sparus aurata,jug,zenka,kril,subadultno,pothranjeno,29,13.3,175,35,55
Sparus aurata,jug,zenka,kril,odraslo,zdravo,35.7,18,186,47.01,67.01
Sparus aurata,jug,zenka,kril,subadultno,pothranjeno,22.8,23.5,195,31.56,51.56
Sparus aurata,jug,zenka,kril,subadultno,pothranjeno,21.8,17.4,165,36.36,56.36
Sparus aurata,jug,zenka,kril,subadultno,zdravo,21.7,17.8,189,40.58,60.58
Sparus aurata,jug,zenka,kril,odraslo,zdravo,27,15.2,188,47.62,67.62
Sparus aurata,jug,zenka,kril,subadultno,pothranjeno,27.1,16.5,167,34.24,54.24
Sparus aurata,jug,zenka,kril,odraslo,zdravo,30.1,18.3,201,45.3,65.3
Sparus aurata,jug,zenka,kril,subadultno,pothranjeno,30.9,15.5,170,30.1,50.1
Sparus aurata,jug,zenka,kril,subadultno,zdravo,24.3,18.1,174,40.34,60.34
Sparus aurata,jug,zenka,kril,odraslo,zdravo,24.5,18.1,201,44.41,64.41
Sparus aurata,jug,zenka,kril,subadultno,zdravo,23.1,15.6,188,42.72,62.72
Sparus aurata,jug,zenka,kril,odraslo,pothranjeno,31.4,16.1,195,40.74,60.74
Sparus aurata,jug,zenka,kril,odraslo,zdravo,30.9,16.8,221,43.35,63.35
Sparus aurata,jug,zenka,kril,odraslo,pothranjeno,35.9,17,207,37.1,57.1
Sparus aurata,jug,zenka,kril,subadultno,pothranjeno,24.5,16.3,181,34.53,54.53
Sparus aurata,jug,zenka,kril,subadultno,zdravo,31.6,16,175,37.57,57.57
Sparus aurata,jug,zenka,kril,odraslo,zdravo,37.4,17.7,202,47.14,67.14
Sparus aurata,jug,zenka,kril,subadultno,pothranjeno,28.2,13.6,188,34.44,54.44
Sparus aurata,jug,muzjak,kril,subadultno,naruseno,22.3,15.8,187,52.09,72.09
Sparus aurata,jug,muzjak,kril,subadultno,naruseno,30.9,21.2,187,60.64,80.64
Sparus aurata,jug,muzjak,kril,subadultno,zdravo,29.5,22.1,241,48.47,68.47
Sparus aurata,jug,muzjak,kril,subadultno,zdravo,27.3,17.8,181,47.91,67.91
Sparus aurata,jug,muzjak,kril,subadultno,zdravo,29.6,17.2,186,46.96,66.96
Sparus aurata,jug,muzjak,kril,subadultno,zdravo,32.8,17.6,190,48.68,68.68
Sparus aurata,jug,muzjak,kril,subadultno,pothranjeno,38.4,16.5,186,43.37,63.37
Sparus aurata,jug,muzjak,kril,subadultno,pothranjeno,23.8,15.7,213,37.2,57.2
Sparus aurata,jug,muzjak,kril,odraslo,zdravo,33.8,19.1,215,52.64,72.64
Sparus aurata,jug,muzjak,kril,odraslo,pothranjeno,38,21.2,239,45.92,65.92
Sparus aurata,jug,muzjak,kril,subadultno,naruseno,25.4,15.7,219,51.39,71.39
Sparus aurata,jug,muzjak,kril,subadultno,pothranjeno,27.3,18.2,195,44.19,64.19
Sparus aurata,jug,muzjak,kril,subadultno,pothranjeno,25.9,15.8,190,40.5,60.5
Sparus aurata,jug,muzjak,kril,subadultno,pothranjeno,18.8,19.1,170,43.29,63.29
Sparus aurata,jug,muzjak,kril,odraslo,pothranjeno,33.5,18,191,50.6,70.6
Sparus aurata,jug,muzjak,kril,odraslo,zdravo,24,21.2,207,58.33,78.33
Sparus aurata,jug,muzjak,kril,odraslo,pothranjeno,37.5,20.1,202,49.67,69.67
Sparus aurata,jug,muzjak,kril,subadultno,zdravo,20.8,15.9,207,49.34,69.34
Sparus aurata,jug,muzjak,kril,subadultno,zdravo,28,21.5,211,47.57,67.57
Sparus aurata,jug,muzjak,kril,subadultno,pothranjeno,25,18.3,225,42.35,62.35
Sparus aurata,jug,zenka,rakovi,juvenilno,naruseno,35.3,9.7,170,33.42,53.42
Sparus aurata,jug,zenka,rakovi,juvenilno,zdravo,32.1,18.1,179,29.03,49.03
Sparus aurata,jug,zenka,rakovi,juvenilno,zdravo,30.2,13.7,143,28.4,48.4
Sparus aurata,jug,zenka,rakovi,juvenilno,pothranjeno,34.2,16.7,185,27.91,47.91
Sparus aurata,jug,zenka,rakovi,juvenilno,zdravo,21.7,16.9,168,30.17,50.17
Sparus aurata,jug,zenka,rakovi,juvenilno,pothranjeno,32.9,16.8,174,27.97,47.97
Sparus aurata,jug,zenka,rakovi,juvenilno,zdravo,36.9,12.2,165,28.57,48.57
Sparus aurata,jug,zenka,rakovi,juvenilno,zdravo,24.3,17,174,31.6,51.6
Sparus aurata,jug,zenka,rakovi,juvenilno,zdravo,28.7,14.1,173,30.9,50.9
Sparus aurata,jug,zenka,rakovi,juvenilno,pothranjeno,20.8,14.8,159,27.31,47.31
Sparus aurata,jug,zenka,rakovi,juvenilno,zdravo,28.4,14.8,166,31.45,51.45
Sparus aurata,jug,zenka,rakovi,juvenilno,zdravo,27.3,13.8,175,30.07,50.07
Sparus aurata,jug,zenka,rakovi,juvenilno,naruseno,39.1,14.4,185,32.27,52.27
Sparus aurata,jug,zenka,rakovi,juvenilno,naruseno,28.2,15.3,166,32.84,52.84
Sparus aurata,jug,zenka,rakovi,juvenilno,pothranjeno,32,13.1,157,26.78,46.78
Sparus aurata,jug,zenka,rakovi,juvenilno,zdravo,37.3,11.7,174,31.53,51.53
Sparus aurata,jug,zenka,rakovi,juvenilno,naruseno,19.6,16.8,167,33.27,53.27
Sparus aurata,jug,zenka,rakovi,juvenilno,zdravo,31.2,15.6,178,30.42,50.42
Sparus aurata,jug,zenka,rakovi,juvenilno,zdravo,25,11.3,162,31.38,51.38
Sparus aurata,jug,zenka,rakovi,juvenilno,zdravo,25.1,15.8,156,30.45,50.45
Sparus aurata,jug,muzjak,rakovi,juvenilno,naruseno,28.7,15.2,203,38.6,58.6
Sparus aurata,jug,muzjak,rakovi,juvenilno,pothranjeno,27.8,14.7,176,31.08,51.08
Sparus aurata,jug,muzjak,rakovi,juvenilno,zdravo,39.1,13.5,207,35.98,55.98
Sparus aurata,jug,muzjak,rakovi,juvenilno,naruseno,48.6,14.4,178,38.68,58.68
Sparus aurata,jug,muzjak,rakovi,juvenilno,pothranjeno,37.3,13.3,187,33.23,53.23
Sparus aurata,jug,muzjak,rakovi,juvenilno,pothranjeno,27.4,16.5,184,33.79,53.79
Sparus aurata,jug,muzjak,rakovi,juvenilno,naruseno,28.3,18.4,186,41.25,61.25
Sparus aurata,jug,muzjak,rakovi,juvenilno,pothranjeno,37.9,15.7,183,32.57,52.57
Sparus aurata,jug,muzjak,rakovi,juvenilno,naruseno,31.3,16.9,197,38.25,58.25
Sparus aurata,jug,muzjak,rakovi,juvenilno,naruseno,27.2,15.3,203,38.11,58.11
Sparus aurata,jug,muzjak,rakovi,juvenilno,zdravo,42.2,14.6,188,36.94,56.94
Sparus aurata,jug,muzjak,rakovi,juvenilno,naruseno,40,17.9,188,39.02,59.02
Sparus aurata,jug,muzjak,rakovi,juvenilno,zdravo,25.7,16.2,199,34.9,54.9
Sparus aurata,jug,muzjak,rakovi,juvenilno,zdravo,35.2,17.8,188,35.52,55.52
Sparus aurata,jug,muzjak,rakovi,juvenilno,zdravo,37.5,18.7,199,34.8,54.8
Sparus aurata,jug,muzjak,rakovi,juvenilno,zdravo,34.6,18.7,191,35.81,55.81
Sparus aurata,jug,muzjak,rakovi,juvenilno,naruseno,38,17.4,185,41.61,61.61
Sparus aurata,jug,muzjak,rakovi,juvenilno,zdravo,27.4,15.5,189,36.64,56.64
Sparus aurata,jug,muzjak,rakovi,juvenilno,zdravo,26.4,13.6,207,36.53,56.53
Sparus aurata,jug,muzjak,rakovi,juvenilno,pothranjeno,38.4,18,187,30.49,50.49
Sparus aurata,jug,muzjak,rakovi,juvenilno,zdravo,32.8,11.6,182,35.72,55.72
Sparus aurata,jug,muzjak,rakovi,juvenilno,zdravo,36.1,14.5,211,34.79,54.79
Sparus aurata,jug,zenka,lignje,odraslo,naruseno,41.8,18.4,224,51.71,71.71
Sparus aurata,jug,zenka,lignje,odraslo,zdravo,39.1,18,189,49.22,69.22
Sparus aurata,jug,muzjak,lignje,odraslo,zdravo,51.8,20,239,51.57,71.57
Sparus aurata,jug,muzjak,lignje,odraslo,pothranjeno,53.8,18.5,213,45.32,65.32
Sparus aurata,jug,muzjak,lignje,subadultno,naruseno,47.2,18.3,190,62.16,82.16
Sparus aurata,jug,muzjak,lignje,odraslo,zdravo,55.5,23.7,244,51.3,71.3
Sparus aurata,jug,muzjak,lignje,odraslo,zdravo,44.1,21.1,232,52.19,72.19
Sparus aurata,sjever,zenka,skoljkasi,subadultno,zdravo,48.3,19.6,203,42.02,62.02
Sparus aurata,sjever,zenka,skoljkasi,subadultno,naruseno,56.2,16,194,48.54,68.54
Sparus aurata,sjever,zenka,skoljkasi,subadultno,naruseno,51.7,16.2,213,48.56,68.56
Sparus aurata,sjever,zenka,skoljkasi,odraslo,zdravo,66,16.4,246,48.19,68.19
Sparus aurata,sjever,zenka,skoljkasi,subadultno,naruseno,46.6,19.1,213,56.26,76.26
Sparus aurata,sjever,zenka,skoljkasi,odraslo,naruseno,54.9,19.3,237,54.24,74.24
Sparus aurata,sjever,zenka,skoljkasi,odraslo,naruseno,48.3,21.3,207,64.26,84.26
Sparus aurata,sjever,zenka,skoljkasi,odraslo,naruseno,66.4,18.1,257,51.46,71.46
Sparus aurata,sjever,zenka,skoljkasi,subadultno,naruseno,33.3,15.7,263,49.79,69.79
Sparus aurata,sjever,zenka,skoljkasi,odraslo,naruseno,55.4,20.5,223,54.38,74.38
Sparus aurata,sjever,muzjak,skoljkasi,odraslo,zdravo,65,19.4,256,59.2,79.2
Sparus aurata,sjever,muzjak,skoljkasi,subadultno,naruseno,35.8,18.9,240,54.7,74.7
Sparus aurata,sjever,muzjak,skoljkasi,subadultno,naruseno,53.7,16.6,219,57.11,77.11
Sparus aurata,sjever,muzjak,skoljkasi,odraslo,naruseno,48.6,18.4,258,72.73,92.73
Sparus aurata,sjever,muzjak,skoljkasi,odraslo,naruseno,65.9,23.8,254,63.18,83.18
Sparus aurata,sjever,muzjak,skoljkasi,odraslo,zdravo,78.4,18.9,259,54.45,74.45
Sparus aurata,sjever,muzjak,skoljkasi,subadultno,naruseno,46.7,16.8,228,53.68,73.68
Sparus aurata,sjever,muzjak,skoljkasi,subadultno,naruseno,50.7,15.8,256,52.28,72.28
Sparus aurata,sjever,muzjak,kril,subadultno,zdravo,30,21.8,197,46.85,66.85
Sparus aurata,sjever,muzjak,kril,odraslo,pothranjeno,37,18.6,213,45.92,65.92
Sparus aurata,sjever,zenka,kril,odraslo,pothranjeno,41.4,19.3,182,39.83,59.83
Sparus aurata,sjever,zenka,kril,subadultno,pothranjeno,26.2,21.4,187,35.48,55.48
Sparus aurata,sjever,zenka,kril,subadultno,zdravo,19.6,15.9,169,39.81,59.81
Sparus aurata,sjever,zenka,kril,odraslo,naruseno,23.6,18.2,216,57.34,77.34
Sparus aurata,sjever,zenka,kril,odraslo,pothranjeno,28.4,19.1,204,37.41,57.41
Sparus aurata,sjever,zenka,kril,subadultno,pothranjeno,31.3,15.7,187,33.46,53.46
Sparus aurata,sjever,zenka,kril,odraslo,pothranjeno,29.8,23.4,198,38.42,58.42
Sparus aurata,sjever,zenka,kril,subadultno,pothranjeno,26.6,19,202,34.03,54.03
Sparus aurata,sjever,zenka,kril,subadultno,zdravo,25.2,18.4,191,38.61,58.61
Sparus aurata,sjever,zenka,kril,subadultno,zdravo,31.8,21.2,155,38.79,58.79
Sparus aurata,sjever,zenka,kril,subadultno,pothranjeno,27.1,20.4,178,36.65,56.65
Sparus aurata,sjever,zenka,kril,subadultno,pothranjeno,30.8,17.2,179,34.13,54.13
Sparus aurata,sjever,zenka,kril,subadultno,zdravo,21.2,16.4,187,39.6,59.6
Sparus aurata,sjever,zenka,kril,subadultno,zdravo,21.3,16.4,181,40.37,60.37
Sparus aurata,sjever,zenka,kril,subadultno,zdravo,32.4,15.9,165,37.92,57.92
Sparus aurata,sjever,zenka,kril,subadultno,zdravo,34,16.6,191,42.99,62.99
Sparus aurata,sjever,zenka,kril,subadultno,pothranjeno,27.9,16,172,31.22,51.22
Sparus aurata,sjever,zenka,kril,odraslo,pothranjeno,35.4,16.7,207,40.26,60.26
Sparus aurata,sjever,zenka,kril,subadultno,naruseno,25.6,12.2,186,45.08,65.08
Sparus aurata,sjever,zenka,kril,subadultno,zdravo,24.2,19.1,179,40.4,60.4
Sparus aurata,sjever,zenka,kril,odraslo,zdravo,22,13.7,187,46.3,66.3
Sparus aurata,sjever,zenka,kril,subadultno,zdravo,28.4,17.7,172,39.23,59.23
Sparus aurata,sjever,zenka,kril,subadultno,naruseno,31.8,18.9,175,46.98,66.98
Sparus aurata,sjever,zenka,kril,subadultno,zdravo,25.7,17.9,199,37.65,57.65
Sparus aurata,sjever,zenka,kril,odraslo,zdravo,30.6,18.7,209,47.06,67.06
Sparus aurata,sjever,muzjak,kril,odraslo,zdravo,35.8,20.3,211,52.45,72.45
Sparus aurata,sjever,muzjak,kril,subadultno,pothranjeno,32.4,17.6,195,43.25,63.25
Sparus aurata,sjever,muzjak,kril,subadultno,pothranjeno,29.9,16.6,193,39.32,59.32
Sparus aurata,sjever,muzjak,kril,subadultno,pothranjeno,30.2,19.7,169,37.05,57.05
Sparus aurata,sjever,muzjak,kril,odraslo,zdravo,27.6,19.9,204,52.1,72.1
Sparus aurata,sjever,muzjak,kril,subadultno,pothranjeno,33.5,18.6,176,44.18,64.18
Sparus aurata,sjever,muzjak,kril,odraslo,pothranjeno,31,19.3,221,45.89,65.89
Sparus aurata,sjever,muzjak,kril,subadultno,pothranjeno,18.4,17.9,176,42.77,62.77
Sparus aurata,sjever,muzjak,kril,subadultno,zdravo,35,19.9,192,49.37,69.37
Sparus aurata,sjever,muzjak,kril,odraslo,zdravo,23.8,19.1,232,54.08,74.08
Sparus aurata,sjever,muzjak,kril,odraslo,pothranjeno,36,18.1,246,44.76,64.76
Sparus aurata,sjever,muzjak,kril,subadultno,zdravo,26.2,19.2,205,49.23,69.23
Sparus aurata,sjever,muzjak,kril,subadultno,zdravo,27.3,21.4,216,48.37,68.37
Sparus aurata,sjever,muzjak,kril,subadultno,zdravo,35.2,18,202,48.98,68.98
Sparus aurata,sjever,muzjak,kril,subadultno,pothranjeno,30.1,14.3,163,41.42,61.42
Sparus aurata,sjever,muzjak,kril,subadultno,pothranjeno,18.8,18.6,197,41.98,61.98
Sparus aurata,sjever,muzjak,kril,subadultno,pothranjeno,27.6,22.5,191,40.53,60.53
Sparus aurata,sjever,muzjak,kril,subadultno,zdravo,29,16.2,200,49.42,69.42
Sparus aurata,sjever,muzjak,kril,subadultno,zdravo,30.2,16.1,206,45.29,65.29
Sparus aurata,sjever,muzjak,kril,subadultno,zdravo,28.6,18.6,197,49.12,69.12
Sparus aurata,sjever,muzjak,kril,subadultno,pothranjeno,37,18.9,196,42.76,62.76
Sparus aurata,sjever,muzjak,kril,subadultno,zdravo,29.6,19.1,182,48.16,68.16
Sparus aurata,sjever,muzjak,kril,odraslo,pothranjeno,27.8,21.6,225,50.63,70.63
Sparus aurata,sjever,muzjak,kril,subadultno,naruseno,25.8,17.7,218,53.92,73.92
Sparus aurata,sjever,muzjak,kril,subadultno,pothranjeno,23.4,17.7,209,42.63,62.63
Sparus aurata,sjever,muzjak,kril,subadultno,zdravo,29.5,17.3,204,49.79,69.79
Sparus aurata,sjever,muzjak,kril,subadultno,pothranjeno,33.7,15,190,43.82,63.82
Sparus aurata,sjever,muzjak,kril,subadultno,zdravo,28.3,16.9,198,46.92,66.92
Sparus aurata,sjever,muzjak,kril,subadultno,zdravo,22.4,19.7,188,45.68,65.68
Sparus aurata,sjever,muzjak,kril,subadultno,zdravo,25.2,20.3,209,48.53,68.53
Sparus aurata,sjever,muzjak,kril,odraslo,zdravo,31.3,19,236,54.98,74.98
Sparus aurata,sjever,muzjak,kril,odraslo,pothranjeno,29.2,17.5,232,49.41,69.41
Sparus aurata,sjever,muzjak,kril,subadultno,pothranjeno,23.5,18.5,179,42.97,62.97
Sparus aurata,sjever,muzjak,kril,subadultno,pothranjeno,25.9,15.4,215,44.33,64.33
Sparus aurata,sjever,muzjak,kril,subadultno,zdravo,28.4,19.3,193,47.89,67.89
Sparus aurata,sjever,muzjak,kril,subadultno,pothranjeno,27.6,17.5,221,43.9,63.9
Sparus aurata,sjever,muzjak,kril,subadultno,zdravo,34.2,15.4,183,49.43,69.43
Sparus aurata,sjever,muzjak,kril,subadultno,zdravo,33.6,19.4,209,45.45,65.45
Sparus aurata,sjever,muzjak,kril,subadultno,pothranjeno,31.7,18,231,43.58,63.58
Sparus aurata,sjever,muzjak,kril,odraslo,zdravo,48.1,17.6,207,51.55,71.55
Sparus aurata,sjever,zenka,rakovi,juvenilno,zdravo,28.1,11.9,172,30.6,50.6
Sparus aurata,sjever,zenka,rakovi,juvenilno,zdravo,27.1,15.6,185,31.22,51.22
Sparus aurata,sjever,zenka,rakovi,juvenilno,zdravo,30.6,14.1,156,29.61,49.61
Sparus aurata,sjever,zenka,rakovi,juvenilno,zdravo,33.9,15.2,156,28.56,48.56
Sparus aurata,sjever,zenka,rakovi,juvenilno,zdravo,30.9,14.5,173,31.67,51.67
Sparus aurata,sjever,zenka,rakovi,juvenilno,zdravo,24.5,12.7,172,30.66,50.66
Sparus aurata,sjever,zenka,rakovi,juvenilno,pothranjeno,33.8,14.4,185,24.77,44.77
Sparus aurata,sjever,zenka,rakovi,juvenilno,naruseno,34.7,16,160,33.85,53.85
Sparus aurata,sjever,zenka,rakovi,juvenilno,zdravo,25.6,14.5,159,31.48,51.48
Sparus aurata,sjever,zenka,rakovi,juvenilno,zdravo,34.8,14,189,29.24,49.24
Sparus aurata,sjever,zenka,rakovi,juvenilno,zdravo,30.6,11,170,31.21,51.21
Sparus aurata,sjever,zenka,rakovi,juvenilno,zdravo,32.4,13.2,162,30.84,50.84
Sparus aurata,sjever,zenka,rakovi,juvenilno,zdravo,32.5,13.5,177,30.99,50.99
Sparus aurata,sjever,zenka,rakovi,juvenilno,zdravo,31.4,16.7,150,28.26,48.26
Sparus aurata,sjever,muzjak,rakovi,juvenilno,zdravo,30.9,15,190,36.35,56.35
Sparus aurata,sjever,muzjak,rakovi,juvenilno,naruseno,33.4,13.8,184,39.02,59.02
Sparus aurata,sjever,muzjak,rakovi,juvenilno,zdravo,31.6,17.7,190,36.47,56.47
Sparus aurata,sjever,muzjak,rakovi,juvenilno,zdravo,32.7,17.7,188,36.68,56.68
Sparus aurata,sjever,muzjak,rakovi,juvenilno,zdravo,36.3,19.2,182,34.14,54.14
Sparus aurata,sjever,muzjak,rakovi,juvenilno,pothranjeno,35.2,16.5,191,32.93,52.93
Sparus aurata,sjever,muzjak,rakovi,juvenilno,zdravo,35,17,191,34.25,54.25
Sparus aurata,sjever,muzjak,rakovi,juvenilno,zdravo,37.7,13.1,182,34.9,54.9
Sparus aurata,sjever,muzjak,rakovi,juvenilno,naruseno,32.9,14.9,204,40.75,60.75
Sparus aurata,sjever,muzjak,rakovi,juvenilno,zdravo,27.6,13.7,179,37.71,57.71
Sparus aurata,sjever,muzjak,rakovi,juvenilno,zdravo,31.1,13.1,198,35.48,55.48
Sparus aurata,sjever,muzjak,rakovi,juvenilno,naruseno,33.7,17.1,179,39.26,59.26
Sparus aurata,sjever,muzjak,rakovi,juvenilno,naruseno,27.8,17.3,187,38.93,58.93
Sparus aurata,sjever,muzjak,rakovi,juvenilno,naruseno,30.5,14.2,195,39.45,59.45
Sparus aurata,sjever,muzjak,rakovi,juvenilno,pothranjeno,39.3,17.8,186,33.94,53.94
Sparus aurata,sjever,muzjak,rakovi,juvenilno,zdravo,27.7,13.5,169,34.67,54.67
Sparus aurata,sjever,zenka,lignje,odraslo,zdravo,32.4,22,214,44.52,64.52
Sparus aurata,sjever,zenka,lignje,odraslo,zdravo,32.2,19.8,219,44.37,64.37
Sparus aurata,sjever,zenka,lignje,subadultno,zdravo,31.8,19.3,197,37.49,57.49
Sparus aurata,sjever,zenka,lignje,odraslo,zdravo,42.7,20,218,48.66,68.66
Sparus aurata,sjever,zenka,lignje,subadultno,naruseno,33.4,14.8,193,45.27,65.27
Sparus aurata,sjever,zenka,lignje,odraslo,naruseno,33.6,20.9,216,50.69,70.69
Sparus aurata,sjever,zenka,lignje,subadultno,naruseno,32.7,17.8,166,46.03,66.03
Sparus aurata,sjever,zenka,lignje,odraslo,pothranjeno,56.7,17,206,40.3,60.3
Sparus aurata,sjever,muzjak,lignje,odraslo,naruseno,46.1,18.8,254,61.31,81.31
Sparus aurata,sjever,muzjak,lignje,subadultno,zdravo,34.4,23.3,207,49.29,69.29
Sparus aurata,sredina,zenka,skoljkasi,odraslo,naruseno,54.2,15,229,63.85,83.85
Sparus aurata,sredina,zenka,skoljkasi,odraslo,naruseno,50.6,19,227,67.29,87.29
Sparus aurata,sredina,zenka,skoljkasi,subadultno,naruseno,42.2,20,202,46.54,66.54
Sparus aurata,sredina,zenka,skoljkasi,subadultno,naruseno,44.4,16.2,204,45.4,65.4
Sparus aurata,sredina,zenka,skoljkasi,odraslo,zdravo,56.3,18,220,42.89,62.89
Sparus aurata,sredina,zenka,skoljkasi,subadultno,zdravo,41.1,15.9,202,42.7,62.7
